Line identifier,Energy level,Intensity,Chi-Rho-Tau absorption,K-factor
-,eV,counts,-,-
Ni-La2,8.51100e+02,0.00000e+00,0.00000e+00,7.70622e-01
Ni-Lb1,8.68300e+02,0.00000e+00,0.00000e+00,7.89831e-01
Ni-Ll,7.42900e+02,0.00000e+00,0.00000e+00,7.70622e-01
Cu-Ka1,8.04780e+03,5.13541e+04,0.00000e+00,6.93709e-01
Cu-Ka2,8.02790e+03,1.43791e+04,0.00000e+00,6.93709e-01
Cu-Kb1,8.90530e+03,9.75727e+03,0.00000e+00,6.93709e-01
Cu-La1,9.29500e+02,7.16109e+04,0.00000e+00,7.53916e-01
Cu-La2,9.29500e+02,7.16109e+03,0.00000e+00,7.53916e-01
Cu-Lb1,9.49400e+02,1.28900e+04,0.00000e+00,7.73958e-01
Zn-Ka1,8.63890e+03,8.72043e+02,0.00000e+00,7.44894e-01
Zn-Ka2,8.61580e+03,4.36022e+02,0.00000e+00,7.44894e-01
Zn-Kb1,9.57200e+03,1.74409e+02,0.00000e+00,7.44894e-01
Zn-La1,1.01160e+03,3.39721e+03,0.00000e+00,7.15037e-01
Zn-La2,1.01160e+03,3.39721e+02,0.00000e+00,7.15037e-01
Zn-Lb1,1.03470e+03,9.71603e+02,0.00000e+00,7.35277e-01
Ga-Ka1,9.25170e+03,2.20627e+02,0.00000e+00,8.36578e-01
Ga-Ka2,9.22480e+03,1.54439e+02,0.00000e+00,8.36578e-01
Ga-Kb1,1.02642e+04,5.07441e+01,0.00000e+00,8.36578e-01
Ga-La1,1.09800e+03,1.17952e+03,0.00000e+00,7.09265e-01
Ga-La2,1.09800e+03,1.17952e+02,0.00000e+00,7.09265e-01
Ga-Lb1,1.12490e+03,3.55036e+02,0.00000e+00,7.30740e-01
Ge-Ka1,9.88640e+03,3.82962e+02,0.00000e+00,9.29296e-01
Ge-Ka2,9.85530e+03,1.91481e+02,0.00000e+00,9.29296e-01
Ge-Kb1,1.09823e+04,4.97850e+01,0.00000e+00,9.29296e-01
Ge-La1,1.18800e+03,0.00000e+00,0.00000e+00,6.92672e-01
Ge-La2,1.18800e+03,0.00000e+00,0.00000e+00,6.92672e-01
Ge-Lb1,1.21910e+03,0.00000e+00,0.00000e+00,7.15007e-01
As-Ka1,1.05436e+04,9.02910e+02,0.00000e+00,1.03652e+00
As-Ka2,1.05081e+04,4.51455e+02,0.00000e+00,1.03652e+00
As-Kb1,1.17262e+04,1.32728e+02,0.00000e+00,1.03652e+00
As-La1,1.28190e+03,0.00000e+00,0.00000e+00,6.72153e-01
As-La2,1.28190e+03,0.00000e+00,0.00000e+00,6.72153e-01
As-Lb1,1.31740e+03,0.00000e+00,0.00000e+00,6.95012e-01
Se-Ka1,1.12220e+04,2.87742e+02,0.00000e+00,1.20016e+00
Se-Ka2,1.11816e+04,1.43871e+02,0.00000e+00,1.20016e+00
Se-Kb1,1.24959e+04,4.31613e+01,0.00000e+00,1.20016e+00
Se-La1,1.37910e+03,0.00000e+00,0.00000e+00,6.70789e-01
