Line identifier,Energy level,Intensity,Chi-Rho-Tau absorption,K-factor
-,eV,counts,-,-
Ce-Lb3,5.36340e+03,2.00541e+01,0.00000e+00,6.32622e-01
Pr-La1,5.03330e+03,1.63417e+02,0.00000e+00,5.28869e-01
Pr-La2,5.01320e+03,1.63417e+01,0.00000e+00,5.28869e-01
Pr-Lb1,5.48930e+03,8.49769e+01,0.00000e+00,5.83851e-01
Pr-Lb2,5.85110e+03,3.59518e+01,0.00000e+00,5.28869e-01
Pr-Lb3,5.59260e+03,1.96101e+01,0.00000e+00,6.30513e-01
Pr-Ma1,9.25000e+02,2.09639e+02,0.00000e+00,4.38386e-01
Pr-Mz1,7.14800e+02,1.99157e+02,0.00000e+00,4.49639e-01
Pr-Mg1,1.12900e+03,2.09639e+01,0.00000e+00,6.18119e-01
Nd-La1,5.23020e+03,4.37402e+02,0.00000e+00,5.35635e-01
Nd-La2,5.20840e+03,4.37402e+01,0.00000e+00,5.35635e-01
Nd-Lb1,5.72200e+03,2.18701e+02,0.00000e+00,5.93536e-01
Nd-Lb2,6.09040e+03,8.74804e+01,0.00000e+00,5.35635e-01
Nd-Lb3,5.82860e+03,4.37402e+01,0.00000e+00,6.40283e-01
Nd-Ma1,9.71700e+02,0.00000e+00,0.00000e+00,4.11091e-01
Nd-Mb,9.96500e+02,0.00000e+00,0.00000e+00,4.22006e-01
Nd-Mz1,7.56200e+02,0.00000e+00,0.00000e+00,4.22006e-01
Nd-Mg1,1.17990e+03,0.00000e+00,0.00000e+00,5.76148e-01
Pm-La1,5.43240e+03,6.03511e+02,0.00000e+00,5.33684e-01
Pm-La2,5.40780e+03,6.03511e+01,0.00000e+00,5.33684e-01
Pm-Lb1,5.96130e+03,2.89685e+02,0.00000e+00,5.93634e-01
Pm-Lb2,6.33890e+03,1.08632e+02,0.00000e+00,5.33684e-01
Pm-Lb3,6.07100e+03,6.03511e+01,0.00000e+00,6.39752e-01
Pm-Ma1,1.02090e+03,0.00000e+00,0.00000e+00,3.99029e-01
Pm-Mb,1.04750e+03,0.00000e+00,0.00000e+00,4.10431e-01
Pm-Mz1,7.97100e+02,0.00000e+00,0.00000e+00,4.10431e-01
Pm-Mg1,1.23650e+03,0.00000e+00,0.00000e+00,5.56685e-01
Sm-La1,5.63600e+03,7.54796e+02,0.00000e+00,5.49178e-01
Sm-La2,5.61020e+03,7.54796e+01,0.00000e+00,5.49178e-01
Sm-Lb1,6.20580e+03,3.47206e+02,0.00000e+00,6.13232e-01
Sm-Lb2,6.58720e+03,1.28315e+02,0.00000e+00,5.49178e-01
Sm-Ma1,1.07420e+03,0.00000e+00,0.00000e+00,4.00913e-01
Sm-Mb,1.10050e+03,0.00000e+00,0.00000e+00,4.12353e-01
Sm-Mz1,8.40400e+02,0.00000e+00,0.00000e+00,4.12353e-01
Eu-La1,5.84600e+03,4.02413e+02,0.00000e+00,5.51261e-01
Eu-La2,5.81630e+03,4.02413e+01,0.00000e+00,5.51261e-01
Eu-Lb1,6.45650e+03,1.81086e+02,0.00000e+00,6.18013e-01
Eu-Lb2,6.84370e+03,6.84103e+01,0.00000e+00,5.51261e-01
Eu-Lb3,6.57140e+03,4.02413e+01,0.00000e+00,6.64591e-01
Eu-Ma1,1.12490e+03,0.00000e+00,0.00000e+00,3.91117e-01
Eu-Mb,1.15769e+03,0.00000e+00,0.00000e+00,4.03409e-01
Eu-Mz1,8.76700e+02,0.00000e+00,0.00000e+00,4.03409e-01
Gd-La1,6.05760e+03,0.00000e+00,0.00000e+00,5.67189e-01
Gd-La2,6.02560e+03,0.00000e+00,0.00000e+00,5.67189e-01
Gd-Lb1,6.71310e+03,0.00000e+00,0.00000e+00,6.38476e-01
Gd-Lb2,7.10230e+03,0.00000e+00,0.00000e+00,5.67189e-01
Gd-Lb3,6.83160e+03,0.00000e+00,0.00000e+00,6.85938e-01
Gd-Ma1,1.17668e+03,8.32944e+01,0.00000e+00,3.91704e-01
Gd-Mb,1.20792e+03,8.32944e+00,0.00000e+00,4.04381e-01
Gd-Mz1,9.28700e+02,4.74778e+01,0.00000e+00,4.04381e-01
Tb-La1,6.27280e+03,0.00000e+00,0.00000e+00,5.70624e-01
Tb-La2,6.23900e+03,0.00000e+00,0.00000e+00,5.70624e-01
Tb-Lb1,6.97660e+03,0.00000e+00,0.00000e+00,6.45045e-01
Tb-Lb2,7.36700e+03,0.00000e+00,0.00000e+00,5.70624e-01
